,brand,model,price (eur),engine,year,mileage (kms),fuel,gearbox,location
0,SEAT,Ibiza,8990,SC 1.2 TSI 90cv Style,2016,67000,Gasolina,Manual,Granollers
1,Hyundai,i30,9990,1.6 CRDi 110cv Tecno,2014,104868,Diésel,Manual,Viladecans
2,BMW,Serie 5,13490,530d Touring,2011,137566,Diésel,Automatica,Viladecans
3,Volkswagen,Golf,24990,GTI 2.0 TSI 169kW (230CV),2018,44495,Gasolina,Manual,Viladecans
4,Opel,Corsa,10460,1.4 Expression 90 CV,2016,69800,Gasolina,Manual,Sabadell 1
5,SEAT,Ibiza,8490,SC 1.2 TSI 105cv FR,2014,114295,Gasolina,Manual,Granollers
6,Jeep,Wrangler,23990,3.8 Rubicon Auto,2011,103000,Gasolina,Automatica,Granollers
7,Kia,Sportage,14990,1.6 GDi 97kW (132CV) Basic 4x2,2017,81999,Gasolina,Manual,Gavá
8,Land,Rover Discovery Sport,19490,2.0L eD4 110kW (150CV) 4x2 SE,2017,148575,Diésel,Manual,Gavá
9,SEAT,Leon,21990,1.5 eTSI 110kW DSG-7 S&S Xcellence Go M,2020,18999,Híbrido,Automatica,Gavá
10,Nissan,Micra,9990,5p 1.0G ACENTA,2017,73633,Gasolina,Manual,Mataró
11,Fiat,Doblò,9990,Panorama Lounge 1.6 Multijet 105cv E5+,2015,110642,Diésel,Manual,Mataró
12,BMW,Serie 1,25490,118i,2019,27985,Gasolina,Automatica,Mataró
13,SEAT,Leon,23990,2.0 TSI 221kW (300CV) DSG-6 St&Sp CUPRA,2018,40250,Gasolina,Automatica,Mataró
14,Ford,Focus,14490,1.0 Ecoboost 92kW ST-Line,2019,99958,Gasolina,Manual,Mataró
15,Citroen,C4 Cactus,9990,PureTech 82cv S&S ETG Shine,2015,62750,Gasolina,Manual,Mataró
16,Toyota,C-HR,17990,1.8 125H Advance,2018,66000,Híbrido,Automatica,Mataró
17,Toyota,Yaris,12990,1.5 110 Active Tech,2019,26073,Gasolina,Manual,Mataró
18,Hyundai,i30,13490,1.0 TGDI Link Fastback,2018,69317,Gasolina,Manual,Mataró
19,Volkswagen,Touran,18490,Edition 1.6 TDI CR 115CV BMT,2016,46993,Diésel,Manual,Sabadell 2
20,BMW,Serie 3,15990,320d Gran Turismo,2014,118200,Diésel,Manual,Sabadell 2
21,SEAT,Ibiza,10490,1.0 EcoTSI 95cv Style Connect,2016,99898,Gasolina,Manual,Mataró
22,Peugeot,208,10460,5P STYLE 1.6 BlueHDi 100,2016,109252,Diésel,Manual,Sabadell 1
23,Dacia,Duster,12880,Prestige TCE 92kW (125CV) 4X2,2018,44503,Gasolina,Manual,Sabadell 1
24,SEAT,Ibiza,16820,1.0 EcoTSI 85kW (115CV) FR Plus,2018,19800,Gasolina,Manual,Sabadell 1
25,Toyota,Rav4,9950,2.2 D-4D Advance 4x2,2011,192000,Diésel,Manual,Sabadell 1
26,Mini,Paceman,14980,COOPER SD PACEMAN automático,2015,101000,Diésel,Automatica,Sabadell 1
27,BMW,Serie 3,11380,318d Touring,2014,194000,Diésel,Manual,Sabadell 1
28,Peugeot,3008,9990,Access 1.6 HDI 111 FAP,2012,99738,Diésel,Manual,Esplugas
29,Renault,Clio,12990,Business TCe 55kW (75CV) -18,2019,24506,Gasolina,Manual,Esplugas
30,Citroen,C3,13490,PureTech 60KW (83CV) Feel,2021,2546,Gasolina,Manual,Esplugas
31,Toyota,Verso,10490,1.6D 115D Business 5pl.,2016,178807,Diésel,Manual,Esplugas
32,Subaru,XV,13990,2.0i Executive Plus Auto,2015,110096,Gasolina,Automatica,Esplugas
33,Ford,Tourneo Courier,12990,1.0 EcoBoost 100cv Ambiente,2016,96652,Gasolina,Manual,Esplugas
34,Peugeot,2008,12990,Active 1.2L PureTech 110 S&S,2016,83400,Gasolina,Manual,Sabadell 2
35,Ford,Transit Connect,12490,Van 1.6 TDCi 115cv Base 200 L1,2014,126400,Diésel,Manual,Sabadell 2
36,Opel,Grandland X,17990,1.2 Turbo Ultimate,2019,42368,Gasolina,Manual,Gavá
37,BMW,Serie 4,57990,M4 COMPETITION,2018,28999,Gasolina,Automatica,Gavá
38,Audi,A4,16490,2.0 TDI 150CV multitronic S line edition,2015,123253,Diésel,Automatica,Gavá
39,Volkswagen,Transporter,17990,Kombi PRO Corto TM 2.0 TDI BMT 114CV,2015,122500,Diésel,Manual,Sabadell 2
40,Volkswagen,Golf,18990,Advance 1.4 TSI 92kW (125CV) DSG,2018,39245,Gasolina,Automatica,Gavá
41,Peugeot,Partner,12990,TEPEE Access BlueHDi 1.6 HDi 100,2015,117417,Diésel,Manual,Gavá
42,Citroen,C3 Picasso,11490,PureTech 81KW (110CV) Feel Edition,2017,78453,Gasolina,Manual,Gavá
43,SEAT,Ibiza,12990,1.0 MPI 59kW (80CV) Style,2019,16000,Gasolina,Manual,Gavá
44,Opel,Mokka X,17490,1.4 T 103kW 4X2 S&S Innovation,2019,56900,Gasolina,Manual,Hospitalet
45,Nissan,JUKE,8490,1.5 dCi EDICIÓN ESPECIAL KURO 4X2,2013,152100,Diésel,Manual,Hospitalet
46,Mercedes,Benz Clase A,20990,A 180,2018,69500,Gasolina,Manual,Hospitalet
47,Volkswagen,Golf,17490,Sport 1.0 TSI 85kW (115CV) Variant,2019,77900,Gasolina,Manual,Hospitalet
48,Volkswagen,Touran,13490,1.6 TDI 105cv DSG Edition,2013,99990,Diésel,Automatica,Esplugas
49,Opel,Crossland X,15490,1.2 96kW (130CV) Innovation S/S,2019,67100,Gasolina,Manual,Hospitalet
50,Mercedes,Benz Clase SLK,19490,SLK 250 BlueEfficiency,2011,72000,Gasolina,Manual,Hospitalet
51,Nissan,Qashqai,18990,DIG-T 85 kW (115 CV) N-CONNECTA,2018,33150,Gasolina,Automatica,Sabadell 2
52,Kia,Ceed Tourer,18960,Tourer 1.0 T-GDi 88kW (120CV) GT Line,2019,32360,Gasolina,Manual,Sabadell 1
53,Mazda,Mazda3,18890,2.0 SKYACTIV-G 88KW ZENITH,2018,29230,Gasolina,Manual,Sabadell 1
54,BMW,Serie 2 Active Tourer,14970,216d,2016,160000,Diésel,Manual,Sabadell 1
55,SEAT,Ibiza,10570,1.0 EcoTSI 95cv Reference,2016,86528,Gasolina,Manual,Sabadell 1
56,Mazda,CX-5,27990,2.0 GE 121kW (165CV) Zenith,2021,15000,Gasolina,Manual,Hospitalet
57,SEAT,Ibiza,12990,1.0 EcoTSI 70kW (95CV) Style,2017,42700,Gasolina,Manual,Mataró
58,Fiat,Panda,7990,1.2 Lounge 69cv EU6,2016,50000,Gasolina,Manual,Hospitalet
59,SEAT,Leon,11490,1.6 TDI 66kW (90CV) Reference,2017,128000,Diésel,Manual,Hospitalet
60,Opel,Astra,15490,1.2T SHL 81kW (110CV) Astra,2020,7500,Gasolina,Manual,Hospitalet
61,SEAT,Leon,8990,1.2 TSI 105cv Style Copa,2012,146000,Gasolina,Manual,Hospitalet
62,Mercedes,Benz Clase E,30490,E 220 d,2018,97164,Diésel,Automatica,Viladecans
63,Citroen,C3,11990,PureTech 60KW (82CV) S&S FEEL,2018,29513,Gasolina,Manual,Viladecans
64,Renault,Clio,8990,Dynamique Energy TCe 90 S&S eco2,2014,55315,Gasolina,Manual,Viladecans
65,SEAT,Toledo,12990,1.0 TSI 81kW St&Sp STYLE EDITION,2018,20253,Gasolina,Manual,Mataró
66,Toyota,Yaris,15990,1.5 100H Feel,2020,19700,Híbrido,Automatica,Badalona
67,Ford,S-Max,9990,2.0 TDCi 140cv DPF Trend,2012,100500,Diésel,Automatica,Badalona
68,Fiat,500,8990,1.2 8v 69 CV Lounge,2016,80000,Gasolina,Manual,Badalona
69,Volkswagen,Tiguan,13990,T1 2.0 TDI 110CV BMT 4x2,2015,99265,Diésel,Manual,Badalona
70,Lexus,CT,18490,1.8 200h Business,2018,43909,Híbrido,Automatica,Esplugas
71,BMW,X4,26990,xDrive30d,2017,187000,Diésel,Automatica,Sabadell 3
72,BMW,Serie 3,18990,318d,2017,126000,Diésel,Automatica,Sabadell 3
73,Audi,Q5,30490,2.0 TDI clean diesel 140kW quattro S tro,2017,122593,Diésel,Automatica,Sabadell 2
74,Ford,Kuga,14490,1.5 TDCi 120 4x2 A-S-S Titanium,2016,81320,Diésel,Manual,Sabadell 2
75,Ford,Kuga,16490,1.5 TDCi 88kW 4x2 A-S-S Trend,2017,42900,Diésel,Manual,Sabadell 2
76,Ford,Fiesta,13490,1.0 EcoBoost 103kW(140CV) ST-Line S/S 5p,2019,38950,Gasolina,Manual,Sabadell 2
77,Nissan,Qashqai,13990,1.5dCi S&S ACENTA 4x2,2014,54956,Diésel,Manual,Esplugas
78,Citroen,C4,5990,1.6 e-HDi 110cv Collection,2012,199990,Diésel,Manual,Esplugas
79,Renault,Captur,14790,Life TCe 66kW (90CV),2019,23500,Gasolina,Manual,Granollers
80,SEAT,Ibiza,10490,1.2 TSI 66kW (90CV) Style,2017,95500,Gasolina,Manual,Sabadell 2
81,SEAT,Leon,22990,2.0 TSI 221kW (300CV) DSG-6 St&Sp CUPRA,2017,64100,Gasolina,Manual,Sabadell 2
82,BMW,X1,20990,sDrive18d Pack M,2016,116387,Diésel,Automatica,Mataró
83,Toyota,C-HR,16990,1.8 125H Dynamic Plus,2017,99658,Híbrido,Automatica,Mataró
84,Kia,Sportage,21990,1.6 T-GDi 130kW GT Line Plus DCT 4x4,2018,23400,Gasolina,Automatica,Badalona
85,Mercedes,Benz Clase GLA,24490,GLA 220 d 4MATIC AMG Line,2016,83100,Diésel,Automatica,Granollers
86,Renault,Clio,9490,Zen Energy dCi 66kW (90CV),2016,130300,Diésel,Manual,Granollers
87,Renault,Espace,18990,Zen Energy dCi 118kW (160CV) TT EDC,2017,105000,Diésel,Automatica,Granollers
88,Opel,Mokka X,16990,1.4 T 103kW 4X4 S&S Innovation,2019,53405,Gasolina,Manual,Gavá
89,Kia,Optima,19990,1.7 CRDi VGT 141CV Emotion Eco-Dynamics,2016,88884,Diésel,Automatica,Gavá
90,Opel,Astra,12990,1.6 CDTi 81kW (110CV) Dynamic,2017,66515,Diésel,Manual,Gavá
91,Audi,Q3,22990,Sport edition 2.0 TDI 88kW (120CV),2018,57425,Diésel,Manual,Gavá
92,Peugeot,3008,18990,1.2 PURETECH 96KW (130CV) ALLURE S&S,2018,106350,Gasolina,Manual,Gavá
93,Audi,A1,15990,Sportback 1.0 TFSI 95CVSLine Adrenalin,2016,37308,Gasolina,Manual,Viladecans
94,Mercedes,Benz Clase A,14990,A 180 CDI Urban,2015,153501,Diésel,Manual,Mataró
95,Volkswagen,Polo,9990,Advance 1.0 75CV BMT,2015,46347,Gasolina,Manual,Viladecans
96,Volvo,V40,15990,2.0 T2 Momentum,2018,76086,Gasolina,Manual,Viladecans
97,Citroen,C-Elysée,11990,BlueHDi 75KW (100CV) Shine,2019,47196,Diésel,Manual,Viladecans
98,Audi,A4,18490,Avant 2.0 TDI 150CV S tronic,2016,118173,Diésel,Automatica,Viladecans
99,Mitsubishi,Outlander,9490,220 DI-D SST Kaiteki,2011,170000,Diésel,Automatica,Granollers
100,Land,Rover Discovery Sport,33990,2.0D I4-L.Flw 150 PS AWD Auto HSE,2019,65950,Diésel,Automatica,Hospitalet
101,SEAT,Ibiza,9490,1.6 TDI 90cv Reference,2013,94500,Diésel,Manual,Mataró
102,SEAT,Arona,15770,1.0 TSI 70kW (95CV) Style Edition Eco,2019,44158,Gasolina,Manual,Sabadell 1
103,Alfa,Romeo Giulietta,7670,1.6 JTDm 105cv Distinctive,2011,125739,Diésel,Manual,Sabadell 1
104,Toyota,Yaris,10260,1.3 100 Active,2016,77977,Gasolina,Manual,Sabadell 1
105,Toyota,Verso,10370,115D Advance 5pl.,2015,129460,Diésel,Manual,Sabadell 1
106,Opel,Corsa,10120,1.4 Selective 66kW (90CV),2018,25200,Gasolina,Manual,Sabadell 1
107,Ford,Focus,16990,1.0 Ecoboost 92kW Titanium,2020,34100,Gasolina,Manual,Sabadell 3
108,Audi,A7,20990,Sportback 3.0 TDI 245 quattro S tronic,2014,216107,Diésel,Automatica,Sabadell 3
109,Ford,Focus,12490,1.5 TDCi E6 88kW (120CV) Trend+,2017,102000,Diésel,Manual,Sabadell 3
110,Hyundai,i20,13290,1.0 TGDI 74kW(100CV) Tecno DT 2C,2019,33832,Gasolina,Manual,Mataró
111,Fiat,Tipo,8990,1.4 16v Lounge 70kW (95CV) gasolina,2017,50500,Gasolina,Manual,Sabadell 3
112,Opel,Astra,8990,1.6 CDTi S/S 110 CV Excellence,2015,114400,Diésel,Manual,Sabadell 3
113,SEAT,Leon,18330,1.4 TSI 110kW (150CV) ACT St&Sp FR,2018,26000,Gasolina,Manual,Sabadell 1
114,Renault,Kangoo Furgón,14430,Profesional Blue dCi 59 kW (80CV),2020,25100,Diésel,Manual,Sabadell 1
115,Dacia,Sandero,10150,Stepway dCi 90,2015,31000,Diésel,Manual,Sabadell 1
116,Citroen,C4 Picasso,11490,1.6 e-HDi 115cv ETG6 Seduction,2014,120000,Diésel,Automatica,Sabadell 3
117,Renault,Clio 4,8990,Zen Energy TCe 66kW (90CV),2016,110000,Gasolina,Manual,Sabadell 3
118,Audi,A3,11430,Sportback 1.6 TDI 105cv Ambition,2014,97000,Diésel,Manual,Sabadell 1
119,Dacia,Dokker,10680,Van Essential Blue dCi 70kW (95CV),2020,32600,Diésel,Manual,Sabadell 1
120,Peugeot,5008,24990,Allure 1.5L BlueHDi 96kW (130CV) S&S,2018,80995,Diésel,Automatica,Granollers
121,Volkswagen,T-Cross,23990,Advance 1.0 TSI 81kW (110CV) DSG,2020,12100,Gasolina,Automatica,Hospitalet
122,SEAT,Ibiza,8990,1.2 TSI 66kW (90CV) Reference,2017,39100,Gasolina,Manual,Hospitalet
123,Kia,Sportage,15990,1.6 GDi 97kW (132CV) x-Tech17 4x2,2017,18000,Gasolina,Manual,Hospitalet
124,Opel,Astra,9990,1.6 Selective,2015,48000,Gasolina,Manual,Hospitalet
125,Ford,Ka+,9990,1.2 Ti-VCT White&Black Edition,2017,26400,Gasolina,Manual,Sabadell 2
126,Citroen,C3 Aircross,15990,PureTech 81kW (110CV) S&S C-Series,2021,8450,Gasolina,Manual,Sabadell 2
127,Jaguar,F-Pace,26990,2.0L i4D AWD Automático Prestige,2016,65244,Diésel,Automatica,Esplugas
128,Mini,Mini,11990,ONE,2016,54870,Gasolina,Manual,Esplugas
129,Kia,Ceed,8490,1.6 CRDi VGT Drive,2016,173127,Diésel,Manual,Esplugas
130,Citroen,C4 Picasso,11490,BlueHDi 120cv Live Edition,2016,70528,Diésel,Manual,Esplugas
131,Toyota,Yaris,5990,90D ACTIVE,2012,144437,Diésel,Manual,Esplugas
132,SEAT,Arona,14990,1.0 TSI 70kW (95CV) Style Ecomotive,2017,32760,Gasolina,Manual,Sabadell 2
133,Peugeot,2008,14990,Style 1.6 BlueHDi 73KW (100CV),2018,96970,Diésel,Manual,Sabadell 2
134,Land,Rover Discovery Sport,22990,2.0L eD4 110kW (150CV) 4x2 SE,2017,82800,Diésel,Manual,Sabadell 2
135,Ford,Kuga,10990,1.6 EcoBoost 150 A-S-S 4x2 Titanium,2014,176400,Gasolina,Manual,Sabadell 2
136,Citroen,C4 Picasso,15990,PureTech 96KW (130CV) S&S 6v EAT6 Live,2017,53160,Gasolina,Manual,Sabadell 2
137,BMW,Serie 1,11990,118d,2013,158000,Diésel,Manual,Granollers
138,Land,Rover Range Rover Evoque,22990,2.2L TD4 150CV 4x4 Prestige Auto,2015,112000,Diésel,Automatica,Granollers
139,Ford,C-Max,10990,1.0 EcoBoost 125CV Trend+,2015,120597,Gasolina,Manual,Esplugas
140,Abarth,500,16990,595 Turismo 1.4 16v T-Jet 121kW E6,2017,69000,Gasolina,Automatica,Mataró
141,Hyundai,Tucson,17730,1.7CRDi 85kW (115CV) BD 25 Aniv. Sky 4x2,2017,98000,Diésel,Manual,Sabadell 1
142,Toyota,Avensis,11970,120D Advance Cross Sport,2015,97800,Diésel,Manual,Sabadell 1
143,SEAT,Arona,14990,1.0 TSI 70kW (95CV) Style Ecomotive,2018,42591,Gasolina,Manual,Viladecans
144,Opel,Mokka,10990,1.7 CDTi 4X2 S&S Selective,2013,78000,Diésel,Manual,Mataró
145,Renault,Kadjar,15990,Zen Energy dCi 96kW (130CV),2017,84300,Diésel,Manual,Sabadell 3
146,SEAT,Ateca,25990,2.0 TDI 110kW (150CV) S&S FR Edition,2019,53000,Diésel,Manual,Badalona
147,Volkswagen,Touran,22490,Advance 2.0 TDI 110kW(150CV) BMT,2017,23000,Diésel,Manual,Sabadell 3
148,Kia,Sportage,16490,1.6 GDi 97kW (132CV) Drive 4x2,2018,55600,Gasolina,Manual,Sabadell 3
149,Toyota,C-HR,15990,1.8 125H Advance,2017,134000,Híbrido,Automatica,Sabadell 3
150,BMW,X3,22990,sDrive18d,2016,96700,Diésel,Manual,Sabadell 3
151,Suzuki,SX4 S-Cross,13490,1.0 DITC GLE,2017,79000,Gasolina,Manual,Sabadell 3
152,Nissan,X-Trail,15880,dCi 130CV (96kW) 4x4-i TEKNA,2015,144000,Diésel,Manual,Sabadell 1
153,SEAT,Leon,13270,1.4 TSI ACT 110kW (150CV) DSG-7 St&Sp FR,2017,169000,Gasolina,Manual,Sabadell 1
154,SEAT,Arona,14490,1.0 TSI 70kW (95CV) Style Ecomotive,2018,95947,Gasolina,Manual,Mataró
155,SEAT,Ibiza,9990,ST 1.6 TDI 105cv Style ITech 30 Aniver,2015,67600,Diésel,Manual,Viladecans
156,Mercedes,Benz Clase CLA,24990,CLA 220 d AMG Line,2016,74580,Diésel,Automatica,Mataró
157,Nissan,Qashqai,15990,DIG-T 85 kW (115 CV) N-CONNECTA,2017,34620,Gasolina,Manual,Mataró
158,Peugeot,3008,18990,1.2 PURETECH 96KW (130CV) ACTIVE EAT8,2019,131900,Gasolina,Manual,Sabadell 2
159,Jeep,Renegade,16990,1.0G 88kW Sport 4x2,2018,61970,Gasolina,Manual,Sabadell 2
160,Audi,A1,12490,Sportback 1.0 TFSI 95CV Adrenalin2,2015,109450,Gasolina,Manual,Sabadell 2
161,Nissan,NV250,22990,4pl 1.5dCi 70 kW (95 CV) L2H1 COMFORT,2021,1258,Diésel,Manual,Viladecans
162,Nissan,Qashqai,13490,1.6dCi S&S ACENTA 4x2,2014,143866,Diésel,Manual,Viladecans
163,Hyundai,Kona,19490,XLE 4X2 ,2021,11757,Gasolina,Manual,Viladecans
164,Volkswagen,Polo,13990,Advance 1.0 TSI 70kW (95CV),2018,73000,Gasolina,Manual,Granollers
165,Nissan,X-Trail,16990,dCi 130CV (96kW) 360 7 plazas,2015,165000,Diésel,Manual,Granollers
166,Kia,ProCeed,18990,1.6 T-GDi 204CV GT,2016,80000,Gasolina,Manual,Badalona
167,SEAT,Leon,14990,1.5 TSI 96kW (130CV) S&S Style Visio Ed,2019,70665,Gasolina,Manual,Badalona
168,Nissan,Micra,11990,IG-T 74 kW (100 CV) E6D Acenta,2019,21017,Gasolina,Manual,Badalona
169,Peugeot,308,9990,Nuevo 308 SW Business Line 1.6 HDI 92,2015,90500,Diésel,Manual,Badalona
170,Mazda,Mazda6,12990,2.2 DE AT 4WD L+P+ T.+SR (CN) WGN,2016,170000,Diésel,Automatica,Granollers
171,Hyundai,i30,14990,1.0 TGDI Link Fastback,2018,35400,Gasolina,Manual,Granollers
172,Peugeot,5008,11990,Allure 1.6 BlueHDi 88KW (120CV),2016,106000,Diésel,Manual,Granollers
173,Renault,Clio,16490,Zen TCe GPF 96 kW (130CV) EDC,2020,6425,Gasolina,Automatica,Sabadell 2
174,Opel,Vivaro,15990,1.6 CDTI 90 CV Expression L1 H1 2.7t,2016,53600,Diésel,Manual,Sabadell 2
175,Ford,EcoSport,14490,1.0T EcoBoost 92kW (125CV) S&S ST Line,2018,29213,Gasolina,Manual,Sabadell 2
176,BMW,Serie 5,11490,520d,2011,199600,Diésel,Manual,Sabadell 2
177,Audi,A3,12990,Sportb 2.0 TDI 150 clean S line edition,2014,159782,Diésel,Manual,Sabadell 2
178,Ford,Fiesta,10990,1.0 EcoBoost 74kW ST-Line 5p,2017,90378,Gasolina,Manual,Gavá
179,Nissan,Micra,10990,IG-T 66 kW (90 CV) S&S Acenta,2018,23462,Gasolina,Manual,Mataró
